"Date","Close","Open","High","Low","Volume","Change"
"2023-4-4","100.72","98.94","101.47","97.26","26.73M","2.37%"
"2023-4-3","98.39","100.89","101.75","97.61","26.21M","-3.71%"
"2023-3-31","102.18","102.86","103.60","101.13","28.38M","-1.16%"
"2023-3-30","103.38","101.34","105.05","100.50","57.00M","3.46%"
"2023-3-29","99.92","97.59","101.33","96.28","53.42M","1.54%"
"2023-3-28","98.40","95.35","99.51","92.06","118.20M","14.26%"
"2023-3-27","86.12","87.13","88.22","85.50","18.18M","-0.90%"
"2023-3-24","86.90","85.87","88.11","85.63","20.35M","0.44%"
"2023-3-23","86.52","87.68","88.38","85.26","26.79M","3.43%"
"2023-3-22","83.65","84.84","85.39","83.51","21.08M","-0.06%"
"2023-3-21","83.70","82.46","84.09","82.00","16.44M","3.33%"
"2023-3-20","81.00","80.15","81.90","79.48","18.95M","-0.82%"
"2023-3-17","81.67","84.00","84.16","80.62","23.71M","-0.67%"
"2023-3-16","82.22","81.46","82.48","80.66","22.41M","0.87%"
"2023-3-15","81.51","81.55","82.54","80.15","20.86M","-2.79%"
"2023-3-14","83.85","82.86","83.91","82.16","19.05M","1.15%"
"2023-3-13","82.90","83.01","83.75","81.97","17.62M","-0.07%"
"2023-3-10","82.96","82.64","84.52","82.33","18.12M","-0.49%"
"2023-3-9","83.37","85.12","85.69","82.88","24.12M","-4.12%"
"2023-3-8","86.95","87.39","87.77","86.45","14.72M","-2.01%"
"2023-3-7","88.73","89.52","90.05","88.20","14.51M","-0.99%"
"2023-3-6","89.62","89.58","91.30","88.03","16.98M","-0.09%"
"2023-3-3","89.70","90.09","90.39","88.43","25.83M","-0.06%"
"2023-3-2","89.75","88.96","90.92","87.97","24.02M","-0.22%"
"2023-3-1","89.95","92.92","92.92","89.73","32.05M","2.46%"
"2023-2-28","87.79","88.46","89.34","87.27","24.60M","-1.64%"
"2023-2-27","89.25","90.85","91.24","88.89","25.84M","0.28%"
"2023-2-24","89.00","90.07","91.68","88.03","36.17M","-5.48%"
"2023-2-23","94.16","100.10","100.47","92.13","40.08M","-0.65%"
"2023-2-22","94.78","95.57","95.89","93.55","22.58M","-0.34%"
"2023-2-21","95.10","96.50","97.63","94.70","25.48M","-4.91%"
"2023-2-17","100.01","101.00","101.09","99.25","18.12M","-3.01%"
"2023-2-16","103.11","102.71","104.52","102.03","19.66M","0.03%"
"2023-2-15","103.08","102.39","103.44","102.00","16.76M","-1.09%"
"2023-2-14","104.22","103.55","104.48","101.85","11.87M","-0.54%"
"2023-2-13","104.79","105.99","106.35","104.15","15.93M","1.10%"
"2023-2-10","103.65","105.80","106.64","102.79","18.78M","-4.43%"
"2023-2-9","108.46","108.50","109.81","107.75","16.24M","3.19%"
"2023-2-8","105.11","107.10","107.14","103.55","14.27M","-0.37%"
"2023-2-7","105.50","106.84","107.35","103.72","16.80M","0.05%"
"2023-2-6","105.45","103.82","106.28","103.22","14.96M","-0.83%"
"2023-2-3","106.33","108.05","109.53","105.81","15.98M","-3.11%"
"2023-2-2","109.74","112.50","112.53","107.81","23.29M","-2.73%"
"2023-2-1","112.82","111.86","113.95","110.15","16.51M","2.38%"
"2023-1-31","110.20","109.42","112.08","108.81","15.29M","-0.90%"
"2023-1-30","111.20","111.69","113.15","109.78","21.92M","-6.07%"
"2023-1-27","118.38","119.69","119.71","116.81","18.03M","-1.82%"
"2023-1-26","120.57","121.00","121.30","118.76","10.00M","0.27%"
"2023-1-25","120.25","118.51","120.32","117.50","9.70M","0.68%"
"2023-1-24","119.44","115.00","120.00","115.00","7.77M","-0.08%"
"2023-1-23","119.53","120.00","120.30","118.14","13.55M","-0.28%"
"2023-1-20","119.86","118.30","120.06","117.80","18.34M","2.81%"
"2023-1-19","116.58","114.02","117.00","113.97","18.39M","2.97%"
"2023-1-18","113.22","116.75","116.75","113.04","15.29M","-1.71%"
"2023-1-17","115.19","115.52","117.01","114.34","16.85M","-1.56%"
"2023-1-13","117.01","114.52","117.98","114.09","25.62M","3.41%"
"2023-1-12","113.15","113.66","113.79","111.45","16.52M","-1.63%"
"2023-1-11","115.02","114.60","115.21","112.31","22.73M","0.12%"
"2023-1-10","114.88","112.97","115.48","111.21","33.14M","3.65%"
"2023-1-9","110.83","111.99","113.11","108.12","41.64M","3.19%"
"2023-1-6","107.40","104.11","108.00","102.46","21.07M","2.70%"
"2023-1-5","104.58","101.40","105.70","100.64","30.40M","0.64%"
"2023-1-4","103.92","98.85","104.52","96.97","52.82M","12.98%"
"2023-1-3","91.98","91.11","94.45","90.75","26.93M","4.42%"
"2022-12-30","88.09","87.45","89.41","87.41","11.93M","-1.17%"
"2022-12-29","89.13","87.63","89.52","87.06","12.51M","2.21%"
"2022-12-28","87.20","88.98","90.15","86.46","16.23M","-2.96%"
"2022-12-27","89.86","86.55","90.69","86.21","22.23M","4.92%"
